Kjoretoytype,Kjoretoytype_label,DrivstoffType,DrivstoffType_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
0,Kjøretøy i alt,1,Bensin,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2010,2010,11092.0,
0,Kjøretøy i alt,1,Bensin,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2011,2011,10708.0,
0,Kjøretøy i alt,1,Bensin,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2012,2012,10339.0,
0,Kjøretøy i alt,1,Bensin,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2013,2013,9959.0,
0,Kjøretøy i alt,1,Bensin,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2014,2014,9659.0,
0,Kjøretøy i alt,1,Bensin,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2015,2015,9463.0,
0,Kjøretøy i alt,1,Bensin,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2016,2016,9267.0,
0,Kjøretøy i alt,1,Bensin,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2017,2017,9161.0,
0,Kjøretøy i alt,1,Bensin,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2018,2018,8995.0,
0,Kjøretøy i alt,1,Bensin,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2019,2019,8776.0,
0,Kjøretøy i alt,1,Bensin,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2020,2020,8127.0,
0,Kjøretøy i alt,1,Bensin,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2021,2021,8092.0,
0,Kjøretøy i alt,1,Bensin,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2022,2022,7743.0,
0,Kjøretøy i alt,1,Bensin,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2023,2023,7546.0,
0,Kjøretøy i alt,1,Bensin,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2024,2024,7401.0,
0,Kjøretøy i alt,1,Bensin,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2025,2025,7613.0,
0,Kjøretøy i alt,2,Diesel,Kjorelengde,Kjørelengde (mill. km),2005,2005,13812.9,
0,Kjøretøy i alt,2,Diesel,Kjorelengde,Kjørelengde (mill. km),2006,2006,15962.2,
0,Kjøretøy i alt,2,Diesel,Kjorelengde,Kjørelengde (mill. km),2007,2007,19494.7,
0,Kjøretøy i alt,2,Diesel,Kjorelengde,Kjørelengde (mill. km),2008,2008,21601.9,
0,Kjøretøy i alt,2,Diesel,Kjorelengde,Kjørelengde (mill. km),2009,2009,22573.2,
0,Kjøretøy i alt,2,Diesel,Kjorelengde,Kjørelengde (mill. km),2010,2010,23847.2,
0,Kjøretøy i alt,2,Diesel,Kjorelengde,Kjørelengde (mill. km),2011,2011,25428.0,
0,Kjøretøy i alt,2,Diesel,Kjorelengde,Kjørelengde (mill. km),2012,2012,27505.6,
