Region,Region_label,Kjopegrupper,Kjopegrupper_label,PetroleumProd,PetroleumProd_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2015M12,2015M12,634,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2016M01,2016M01,634,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2016M02,2016M02,637,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2016M03,2016M03,639,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2016M04,2016M04,668,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2016M05,2016M05,720,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2016M06,2016M06,799,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2016M07,2016M07,720,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2016M08,2016M08,777,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2016M09,2016M09,755,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2016M10,2016M10,714,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2016M11,2016M11,673,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2016M12,2016M12,608,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2017M01,2017M01,615,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2017M02,2017M02,591,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2017M03,2017M03,662,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2017M04,2017M04,594,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2017M05,2017M05,728,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2017M06,2017M06,764,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2017M07,2017M07,710,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2017M08,2017M08,747,
