Energibalanse,Energibalanse_label,EnergiProdukt,EnergiProdukt_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),1996,1996,108.8,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),1997,1997,108.7,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),1998,1998,111.9,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),1999,1999,117.6,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2000,2000,115.3,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2001,2001,122.2,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2002,2002,123.3,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2003,2003,125.2,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2004,2004,129.4,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2005,2005,131.6,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2006,2006,135.5,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2007,2007,139.5,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2008,2008,139.5,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2009,2009,137.9,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2010,2010,141.9,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2011,2011,140.8,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2012,2012,141.8,
