serie_id,gruppe,drivlinje,variabel,enhet,frekvens,periode,verdi,status,kilde,segment,brudd
bestand,personbiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2024,369835.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,personbiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2025,371004.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2008,4.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2008,48.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2009,5.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2009,70.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2010,3.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2010,127.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2011,4.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2011,170.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2012,3.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2012,265.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2013,4.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2013,293.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2014,3.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2014,308.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2015,3.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2015,320.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2016,3.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2016,394.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2017,3.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2017,437.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2018,4.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2018,460.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2019,4.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2019,484.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2020,3.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2020,491.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2021,4.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2021,474.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2022,4.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2022,457.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2023,4.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2023,422.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2024,2.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2024,391.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2025,2.0,observert,SSB 07849,,
bestand,varebiler,annet,bestand_3112,kjøretøy,A,2025,386.0,observert,SSB 07849,,
bestand,varebiler,bensin,bestand_3112,kjøretøy,A,2008,64971.0,observert,SSB 07849,,
bestand,varebiler,bensin,bestand_3112,kjøretøy,A,2009,60030.0,observert,SSB 07849,,
bestand,varebiler,bensin,bestand_3112,kjøretøy,A,2010,54526.0,observert,SSB 07849,,
bestand,varebiler,bensin,bestand_3112,kjøretøy,A,2011,48304.0,observert,SSB 07849,,
bestand,varebiler,bensin,bestand_3112,kjøretøy,A,2012,43626.0,observert,SSB 07849,,
bestand,varebiler,bensin,bestand_3112,kjøretøy,A,2013,39166.0,observert,SSB 07849,,
bestand,varebiler,bensin,bestand_3112,kjøretøy,A,2014,35456.0,observert,SSB 07849,,
bestand,varebiler,bensin,bestand_3112,kjøretøy,A,2015,31896.0,observert,SSB 07849,,
bestand,varebiler,bensin,bestand_3112,kjøretøy,A,2016,29463.0,observert,SSB 07849,,
bestand,varebiler,bensin,bestand_3112,kjøretøy,A,2017,26814.0,observert,SSB 07849,,
bestand,varebiler,bensin,bestand_3112,kjøretøy,A,2018,24765.0,observert,SSB 07849,,
bestand,varebiler,bensin,bestand_3112,kjøretøy,A,2019,23599.0,observert,SSB 07849,,
bestand,varebiler,bensin,bestand_3112,kjøretøy,A,2020,21626.0,observert,SSB 07849,,
bestand,varebiler,bensin,bestand_3112,kjøretøy,A,2021,20480.0,observert,SSB 07849,,
bestand,varebiler,bensin,bestand_3112,kjøretøy,A,2022,18931.0,observert,SSB 07849,,
bestand,varebiler,bensin,bestand_3112,kjøretøy,A,2023,17884.0,observert,SSB 07849,,
bestand,varebiler,bensin,bestand_3112,kjøretøy,A,2024,17297.0,observert,SSB 07849,,
bestand,varebiler,bensin,bestand_3112,kjøretøy,A,2025,16917.0,observert,SSB 07849,,
bestand,varebiler,diesel,bestand_3112,kjøretøy,A,2008,314237.0,observert,SSB 07849,,
bestand,varebiler,diesel,bestand_3112,kjøretøy,A,2009,327345.0,observert,SSB 07849,,
bestand,varebiler,diesel,bestand_3112,kjøretøy,A,2010,342510.0,observert,SSB 07849,,
bestand,varebiler,diesel,bestand_3112,kjøretøy,A,2011,362098.0,observert,SSB 07849,,
bestand,varebiler,diesel,bestand_3112,kjøretøy,A,2012,380518.0,observert,SSB 07849,,
bestand,varebiler,diesel,bestand_3112,kjøretøy,A,2013,394596.0,observert,SSB 07849,,
bestand,varebiler,diesel,bestand_3112,kjøretøy,A,2014,405069.0,observert,SSB 07849,,
bestand,varebiler,diesel,bestand_3112,kjøretøy,A,2015,416298.0,observert,SSB 07849,,
bestand,varebiler,diesel,bestand_3112,kjøretøy,A,2016,429013.0,observert,SSB 07849,,
bestand,varebiler,diesel,bestand_3112,kjøretøy,A,2017,440051.0,observert,SSB 07849,,
bestand,varebiler,diesel,bestand_3112,kjøretøy,A,2018,446237.0,observert,SSB 07849,,
bestand,varebiler,diesel,bestand_3112,kjøretøy,A,2019,457871.0,observert,SSB 07849,,
bestand,varebiler,diesel,bestand_3112,kjøretøy,A,2020,463904.0,observert,SSB 07849,,
bestand,varebiler,diesel,bestand_3112,kjøretøy,A,2021,471131.0,observert,SSB 07849,,
bestand,varebiler,diesel,bestand_3112,kjøretøy,A,2022,466490.0,observert,SSB 07849,,
bestand,varebiler,diesel,bestand_3112,kjøretøy,A,2023,459458.0,observert,SSB 07849,,
bestand,varebiler,diesel,bestand_3112,kjøretøy,A,2024,456956.0,observert,SSB 07849,,
bestand,varebiler,diesel,bestand_3112,kjøretøy,A,2025,452033.0,observert,SSB 07849,,
bestand,varebiler,elektrisitet,bestand_3112,kjøretøy,A,2008,62.0,observert,SSB 07849,,
bestand,varebiler,elektrisitet,bestand_3112,kjøretøy,A,2009,67.0,observert,SSB 07849,,
bestand,varebiler,elektrisitet,bestand_3112,kjøretøy,A,2010,64.0,observert,SSB 07849,,
bestand,varebiler,elektrisitet,bestand_3112,kjøretøy,A,2011,101.0,observert,SSB 07849,,
bestand,varebiler,elektrisitet,bestand_3112,kjøretøy,A,2012,159.0,observert,SSB 07849,,
bestand,varebiler,elektrisitet,bestand_3112,kjøretøy,A,2013,511.0,observert,SSB 07849,,
bestand,varebiler,elektrisitet,bestand_3112,kjøretøy,A,2014,1068.0,observert,SSB 07849,,
bestand,varebiler,elektrisitet,bestand_3112,kjøretøy,A,2015,1808.0,observert,SSB 07849,,
bestand,varebiler,elektrisitet,bestand_3112,kjøretøy,A,2016,2568.0,observert,SSB 07849,,
bestand,varebiler,elektrisitet,bestand_3112,kjøretøy,A,2017,3478.0,observert,SSB 07849,,
bestand,varebiler,elektrisitet,bestand_3112,kjøretøy,A,2018,5314.0,observert,SSB 07849,,
bestand,varebiler,elektrisitet,bestand_3112,kjøretøy,A,2019,7336.0,observert,SSB 07849,,
bestand,varebiler,elektrisitet,bestand_3112,kjøretøy,A,2020,9752.0,observert,SSB 07849,,
bestand,varebiler,elektrisitet,bestand_3112,kjøretøy,A,2021,15133.0,observert,SSB 07849,,
bestand,varebiler,elektrisitet,bestand_3112,kjøretøy,A,2022,21657.0,observert,SSB 07849,,
bestand,varebiler,elektrisitet,bestand_3112,kjøretøy,A,2023,29623.0,observert,SSB 07849,,
bestand,varebiler,elektrisitet,bestand_3112,kjøretøy,A,2024,36986.0,observert,SSB 07849,,
bestand,varebiler,elektrisitet,bestand_3112,kjøretøy,A,2025,49436.0,observert,SSB 07849,,
bestand,varebiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2008,21.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,varebiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2009,29.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,varebiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2010,49.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,varebiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2011,53.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,varebiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2012,63.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,varebiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2013,66.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,varebiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2014,63.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,varebiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2015,60.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,varebiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2016,57.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,varebiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2017,72.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,varebiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2018,93.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,varebiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2019,123.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,varebiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2020,189.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,varebiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2021,689.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,varebiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2022,1135.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,varebiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2023,2492.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,varebiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2024,3108.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,varebiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2025,4177.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
energi_autodiesel,veitransport_og_ovrig,diesel,energi_salgsvolum,GWh,A,2010,25372.97,estimert,"SSB 11174 × SSB Notater 2018/45, vedlegg A, tabell A2 (tetthet) og A3 (energiinnhold, netto brennverdi/NCV, gjennomsnittsverdier), s. 51-52",,"fossil NCV brukt på hele volumet; iblandet bio har lavere brennverdi, så tallet er en svak overkant"
energi_autodiesel,veitransport_og_ovrig,diesel,energi_salgsvolum,GWh,A,2011,26338.41,estimert,"SSB 11174 × SSB Notater 2018/45, vedlegg A, tabell A2 (tetthet) og A3 (energiinnhold, netto brennverdi/NCV, gjennomsnittsverdier), s. 51-52",,"fossil NCV brukt på hele volumet; iblandet bio har lavere brennverdi, så tallet er en svak overkant"
energi_autodiesel,veitransport_og_ovrig,diesel,energi_salgsvolum,GWh,A,2012,27424.53,estimert,"SSB 11174 × SSB Notater 2018/45, vedlegg A, tabell A2 (tetthet) og A3 (energiinnhold, netto brennverdi/NCV, gjennomsnittsverdier), s. 51-52",,"fossil NCV brukt på hele volumet; iblandet bio har lavere brennverdi, så tallet er en svak overkant"
energi_autodiesel,veitransport_og_ovrig,diesel,energi_salgsvolum,GWh,A,2013,28178.78,estimert,"SSB 11174 × SSB Notater 2018/45, vedlegg A, tabell A2 (tetthet) og A3 (energiinnhold, netto brennverdi/NCV, gjennomsnittsverdier), s. 51-52",,"fossil NCV brukt på hele volumet; iblandet bio har lavere brennverdi, så tallet er en svak overkant"
energi_autodiesel,veitransport_og_ovrig,diesel,energi_salgsvolum,GWh,A,2014,29013.483333333334,estimert,"SSB 11174 × SSB Notater 2018/45, vedlegg A, tabell A2 (tetthet) og A3 (energiinnhold, netto brennverdi/NCV, gjennomsnittsverdier), s. 51-52",,"fossil NCV brukt på hele volumet; iblandet bio har lavere brennverdi, så tallet er en svak overkant"
energi_autodiesel,veitransport_og_ovrig,diesel,energi_salgsvolum,GWh,A,2015,29958.81,estimert,"SSB 11174 × SSB Notater 2018/45, vedlegg A, tabell A2 (tetthet) og A3 (energiinnhold, netto brennverdi/NCV, gjennomsnittsverdier), s. 51-52",,"fossil NCV brukt på hele volumet; iblandet bio har lavere brennverdi, så tallet er en svak overkant"
energi_autodiesel,veitransport_og_ovrig,diesel,energi_salgsvolum,GWh,A,2016,31155.553333333333,estimert,"SSB 11174 × SSB Notater 2018/45, vedlegg A, tabell A2 (tetthet) og A3 (energiinnhold, netto brennverdi/NCV, gjennomsnittsverdier), s. 51-52",,"fossil NCV brukt på hele volumet; iblandet bio har lavere brennverdi, så tallet er en svak overkant"
energi_autodiesel,veitransport_og_ovrig,diesel,energi_salgsvolum,GWh,A,2017,30552.153333333332,estimert,"SSB 11174 × SSB Notater 2018/45, vedlegg A, tabell A2 (tetthet) og A3 (energiinnhold, netto brennverdi/NCV, gjennomsnittsverdier), s. 51-52",,"fossil NCV brukt på hele volumet; iblandet bio har lavere brennverdi, så tallet er en svak overkant"
