kontroll,periode,bestandsvariabel,kobling,bestand_3112,implisitt_i_bruk,avvik_pct
bestand_mot_aktivitet,2022,Varebil4,små + store varebiler (29+30),508674,528273.7677489648,3.853109800965804
bestand_mot_aktivitet,2023,Varebil4,små + store varebiler (29+30),509883,534375.9005546378,4.803631530103525
bestand_mot_aktivitet,2024,Varebil4,små + store varebiler (29+30),514740,541686.2726462539,5.234928827418495
bestand_mot_aktivitet,2025,Varebil4,små + store varebiler (29+30),522951,548903.6150232226,4.962724045507638
bestand_mot_aktivitet,2008,Varebil4,små godsbiler i alt (00),379343,475039.0405396964,25.226784345485864
bestand_mot_aktivitet,2009,Varebil4,små godsbiler i alt (00),387546,471513.6162127929,21.666490226397105
bestand_mot_aktivitet,2010,Varebil4,små godsbiler i alt (00),397279,474991.9660646571,19.561307309134655
bestand_mot_aktivitet,2011,Varebil4,små godsbiler i alt (00),410730,483824.87875213,17.796333053862632
bestand_mot_aktivitet,2012,Varebil4,små godsbiler i alt (00),424634,490886.60330686107,15.60228415691185
bestand_mot_aktivitet,2013,Varebil4,små godsbiler i alt (00),434636,496746.72343822767,14.290285074919629
bestand_mot_aktivitet,2014,Varebil4,små godsbiler i alt (00),441967,497964.70349584153,12.670109645254414
bestand_mot_aktivitet,2015,Varebil4,små godsbiler i alt (00),450385,501892.78806300083,11.436390657548735
bestand_mot_aktivitet,2016,Varebil4,små godsbiler i alt (00),461498,506863.01944871974,9.829949306111786
bestand_mot_aktivitet,2017,Varebil4,små godsbiler i alt (00),470855,512910.69924178603,8.931772890122435
bestand_mot_aktivitet,2018,Varebil4,små godsbiler i alt (00),476873,520816.2977583533,9.214884834820447
bestand_mot_aktivitet,2019,Varebil4,små godsbiler i alt (00),489417,528304.9878519365,7.945777905535878
bestand_mot_aktivitet,2020,Varebil4,små godsbiler i alt (00),495965,537865.9678023212,8.448371921873754
bestand_mot_aktivitet,2021,Varebil4,små godsbiler i alt (00),507911,545827.5331526119,7.465192357049144
bestand_mot_aktivitet,2022,Varebil4,små godsbiler i alt (00),508674,552752.0557078302,8.665285764129926
bestand_mot_aktivitet,2023,Varebil4,små godsbiler i alt (00),509883,557091.2919235976,9.258651871821089
bestand_mot_aktivitet,2024,Varebil4,små godsbiler i alt (00),514740,563197.3043803818,9.413937984299213
bestand_mot_aktivitet,2025,Varebil4,små godsbiler i alt (00),522951,568901.0487916097,8.78668341615365
