TypeRegistrering,TypeRegistrering_label,DrivstoffType,DrivstoffType_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2001M07,2001M07,45,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2001M08,2001M08,23,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2001M09,2001M09,16,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2001M10,2001M10,24,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2001M11,2001M11,4,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2001M12,2001M12,2,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2002M01,2002M01,30,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2002M02,2002M02,62,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2002M03,2002M03,17,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2002M04,2002M04,12,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2002M05,2002M05,16,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2002M06,2002M06,3,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2002M07,2002M07,20,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2002M08,2002M08,9,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2002M09,2002M09,23,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2002M10,2002M10,8,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2002M11,2002M11,13,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2002M12,2002M12,7,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2003M01,2003M01,2,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2003M02,2003M02,2,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2003M03,2003M03,4,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2003M04,2003M04,6,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2003M05,2003M05,8,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2003M06,2003M06,5,
