Region,Region_label,TypeRegistrering,TypeRegistrering_label,DrivstoffType,DrivstoffType_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
0,Hele landet,N,Nye kjøretøy,5,El.,Bobiler,Bobiler,2024,2024,0,
0,Hele landet,N,Nye kjøretøy,5,El.,Bobiler,Bobiler,2025,2025,0,
0,Hele landet,N,Nye kjøretøy,5,El.,Kombibil5,Kombinerte biler,2019,2019,0,
0,Hele landet,N,Nye kjøretøy,5,El.,Kombibil5,Kombinerte biler,2020,2020,0,
0,Hele landet,N,Nye kjøretøy,5,El.,Kombibil5,Kombinerte biler,2021,2021,0,
0,Hele landet,N,Nye kjøretøy,5,El.,Kombibil5,Kombinerte biler,2022,2022,0,
0,Hele landet,N,Nye kjøretøy,5,El.,Kombibil5,Kombinerte biler,2023,2023,0,
0,Hele landet,N,Nye kjøretøy,5,El.,Kombibil5,Kombinerte biler,2024,2024,0,
0,Hele landet,N,Nye kjøretøy,5,El.,Kombibil5,Kombinerte biler,2025,2025,0,
0,Hele landet,N,Nye kjøretøy,5,El.,Ambulanse2,Ambulanser,2019,2019,0,
0,Hele landet,N,Nye kjøretøy,5,El.,Ambulanse2,Ambulanser,2020,2020,0,
0,Hele landet,N,Nye kjøretøy,5,El.,Ambulanse2,Ambulanser,2021,2021,0,
0,Hele landet,N,Nye kjøretøy,5,El.,Ambulanse2,Ambulanser,2022,2022,0,
0,Hele landet,N,Nye kjøretøy,5,El.,Ambulanse2,Ambulanser,2023,2023,0,
0,Hele landet,N,Nye kjøretøy,5,El.,Ambulanse2,Ambulanser,2024,2024,3,
0,Hele landet,N,Nye kjøretøy,5,El.,Ambulanse2,Ambulanser,2025,2025,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Personbil1,Personbiler,2019,2019,28,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Personbil1,Personbiler,2020,2020,15,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Personbil1,Personbiler,2021,2021,36,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Personbil1,Personbiler,2022,2022,27,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Personbil1,Personbiler,2023,2023,2,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Personbil1,Personbiler,2024,2024,9,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Personbil1,Personbiler,2025,2025,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Varebil4,Varebiler,2019,2019,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Varebil4,Varebiler,2020,2020,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Varebil4,Varebiler,2021,2021,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Varebil4,Varebiler,2022,2022,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Varebil4,Varebiler,2023,2023,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Varebil4,Varebiler,2024,2024,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Varebil4,Varebiler,2025,2025,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Bobiler,Bobiler,2019,2019,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Bobiler,Bobiler,2020,2020,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Bobiler,Bobiler,2021,2021,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Bobiler,Bobiler,2022,2022,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Bobiler,Bobiler,2023,2023,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Bobiler,Bobiler,2024,2024,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Bobiler,Bobiler,2025,2025,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Kombibil5,Kombinerte biler,2019,2019,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Kombibil5,Kombinerte biler,2020,2020,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Kombibil5,Kombinerte biler,2021,2021,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Kombibil5,Kombinerte biler,2022,2022,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Kombibil5,Kombinerte biler,2023,2023,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Kombibil5,Kombinerte biler,2024,2024,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Kombibil5,Kombinerte biler,2025,2025,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Ambulanse2,Ambulanser,2019,2019,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Ambulanse2,Ambulanser,2020,2020,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Ambulanse2,Ambulanser,2021,2021,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Ambulanse2,Ambulanser,2022,2022,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Ambulanse2,Ambulanser,2023,2023,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Ambulanse2,Ambulanser,2024,2024,0,
0,Hele landet,N,Nye kjøretøy,13,Hydrogen,Ambulanse2,Ambulanser,2025,2025,0,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Personbil1,Personbiler,2019,2019,18768,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Personbil1,Personbiler,2020,2020,27497,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Personbil1,Personbiler,2021,2021,36602,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Personbil1,Personbiler,2022,2022,15603,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Personbil1,Personbiler,2023,2023,9970,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Personbil1,Personbiler,2024,2024,3470,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Personbil1,Personbiler,2025,2025,2610,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Varebil4,Varebiler,2019,2019,5,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Varebil4,Varebiler,2020,2020,32,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Varebil4,Varebiler,2021,2021,282,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Varebil4,Varebiler,2022,2022,221,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Varebil4,Varebiler,2023,2023,131,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Varebil4,Varebiler,2024,2024,108,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Varebil4,Varebiler,2025,2025,316,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Bobiler,Bobiler,2019,2019,0,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Bobiler,Bobiler,2020,2020,0,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Bobiler,Bobiler,2021,2021,0,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Bobiler,Bobiler,2022,2022,0,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Bobiler,Bobiler,2023,2023,0,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Bobiler,Bobiler,2024,2024,0,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Bobiler,Bobiler,2025,2025,0,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Kombibil5,Kombinerte biler,2019,2019,0,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Kombibil5,Kombinerte biler,2020,2020,0,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Kombibil5,Kombinerte biler,2021,2021,0,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Kombibil5,Kombinerte biler,2022,2022,0,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Kombibil5,Kombinerte biler,2023,2023,0,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Kombibil5,Kombinerte biler,2024,2024,0,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Kombibil5,Kombinerte biler,2025,2025,0,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Ambulanse2,Ambulanser,2019,2019,0,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Ambulanse2,Ambulanser,2020,2020,0,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Ambulanse2,Ambulanser,2021,2021,0,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Ambulanse2,Ambulanser,2022,2022,0,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Ambulanse2,Ambulanser,2023,2023,0,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Ambulanse2,Ambulanser,2024,2024,0,
0,Hele landet,N,Nye kjøretøy,14,"Bensin hybrid, ladbar",Ambulanse2,Ambulanser,2025,2025,0,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Personbil1,Personbiler,2019,2019,18697,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Personbil1,Personbiler,2020,2020,15156,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Personbil1,Personbiler,2021,2021,13545,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Personbil1,Personbiler,2022,2022,12244,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Personbil1,Personbiler,2023,2023,8270,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Personbil1,Personbiler,2024,2024,7525,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Personbil1,Personbiler,2025,2025,2607,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Varebil4,Varebiler,2019,2019,0,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Varebil4,Varebiler,2020,2020,9,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Varebil4,Varebiler,2021,2021,16,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Varebil4,Varebiler,2022,2022,16,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Varebil4,Varebiler,2023,2023,16,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Varebil4,Varebiler,2024,2024,46,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Varebil4,Varebiler,2025,2025,42,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Bobiler,Bobiler,2019,2019,0,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Bobiler,Bobiler,2020,2020,0,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Bobiler,Bobiler,2021,2021,0,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Bobiler,Bobiler,2022,2022,0,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Bobiler,Bobiler,2023,2023,0,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Bobiler,Bobiler,2024,2024,0,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Bobiler,Bobiler,2025,2025,0,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Kombibil5,Kombinerte biler,2019,2019,0,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Kombibil5,Kombinerte biler,2020,2020,0,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Kombibil5,Kombinerte biler,2021,2021,0,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Kombibil5,Kombinerte biler,2022,2022,0,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Kombibil5,Kombinerte biler,2023,2023,0,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Kombibil5,Kombinerte biler,2024,2024,0,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Kombibil5,Kombinerte biler,2025,2025,0,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Ambulanse2,Ambulanser,2019,2019,0,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Ambulanse2,Ambulanser,2020,2020,0,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Ambulanse2,Ambulanser,2021,2021,0,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Ambulanse2,Ambulanser,2022,2022,0,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Ambulanse2,Ambulanser,2023,2023,0,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Ambulanse2,Ambulanser,2024,2024,5,
0,Hele landet,N,Nye kjøretøy,15,"Bensin hybrid, ikke ladbar",Ambulanse2,Ambulanser,2025,2025,0,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Personbil1,Personbiler,2019,2019,531,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Personbil1,Personbiler,2020,2020,1412,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Personbil1,Personbiler,2021,2021,1572,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Personbil1,Personbiler,2022,2022,528,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Personbil1,Personbiler,2023,2023,200,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Personbil1,Personbiler,2024,2024,17,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Personbil1,Personbiler,2025,2025,142,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Varebil4,Varebiler,2019,2019,0,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Varebil4,Varebiler,2020,2020,0,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Varebil4,Varebiler,2021,2021,4,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Varebil4,Varebiler,2022,2022,4,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Varebil4,Varebiler,2023,2023,1,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Varebil4,Varebiler,2024,2024,1,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Varebil4,Varebiler,2025,2025,0,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Bobiler,Bobiler,2019,2019,0,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Bobiler,Bobiler,2020,2020,0,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Bobiler,Bobiler,2021,2021,0,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Bobiler,Bobiler,2022,2022,0,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Bobiler,Bobiler,2023,2023,0,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Bobiler,Bobiler,2024,2024,0,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Bobiler,Bobiler,2025,2025,0,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Kombibil5,Kombinerte biler,2019,2019,0,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Kombibil5,Kombinerte biler,2020,2020,0,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Kombibil5,Kombinerte biler,2021,2021,0,
