PetroleumProd,PetroleumProd_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1994M01,1994M01,6.98,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1994M02,1994M02,7.06,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1994M03,1994M03,7.09,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1994M04,1994M04,6.95,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1994M05,1994M05,6.97,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1994M06,1994M06,7.04,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1994M07,1994M07,7.33,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1994M08,1994M08,7.48,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1994M09,1994M09,7.41,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1994M10,1994M10,7.29,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1994M11,1994M11,7.37,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1994M12,1994M12,7.27,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1995M01,1995M01,7.58,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1995M02,1995M02,7.58,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1995M03,1995M03,7.58,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1995M04,1995M04,7.62,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1995M05,1995M05,7.7,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1995M06,1995M06,7.7,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1995M07,1995M07,7.61,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1995M08,1995M08,7.61,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1995M09,1995M09,7.66,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1995M10,1995M10,7.59,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1995M11,1995M11,7.67,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1995M12,1995M12,7.64,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1996M01,1996M01,7.74,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1996M02,1996M02,7.74,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1996M03,1996M03,7.83,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1996M04,1996M04,8.05,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1996M05,1996M05,8.11,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1996M06,1996M06,7.87,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1996M07,1996M07,7.75,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1996M08,1996M08,7.73,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1996M09,1996M09,7.48,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1996M10,1996M10,7.72,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1996M11,1996M11,7.68,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1996M12,1996M12,7.49,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1997M01,1997M01,8.09,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1997M02,1997M02,8.09,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1997M03,1997M03,8.18,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1997M04,1997M04,8.17,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1997M05,1997M05,8.57,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1997M06,1997M06,8.36,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1997M07,1997M07,8.39,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1997M08,1997M08,8.46,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1997M09,1997M09,8.43,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1997M10,1997M10,8.51,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1997M11,1997M11,8.7,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1997M12,1997M12,8.65,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1998M01,1998M01,8.68,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1998M02,1998M02,8.47,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1998M03,1998M03,8.54,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1998M04,1998M04,8.39,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1998M05,1998M05,8.39,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1998M06,1998M06,8.36,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1998M07,1998M07,8.5,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1998M08,1998M08,8.22,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1998M09,1998M09,8.45,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1998M10,1998M10,8.03,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1998M11,1998M11,8.21,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1998M12,1998M12,8.18,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1999M01,1999M01,8.52,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1999M02,1999M02,8.4,
