Alder,Alder_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
05,12 - 15 år,Varebiler,Registrerte varebiler,2014,2014,56129,
05,12 - 15 år,Varebiler,Registrerte varebiler,2015,2015,60136,
05,12 - 15 år,Varebiler,Registrerte varebiler,2016,2016,67470,
05,12 - 15 år,Varebiler,Registrerte varebiler,2017,2017,80072,
05,12 - 15 år,Varebiler,Registrerte varebiler,2018,2018,92376,
05,12 - 15 år,Varebiler,Registrerte varebiler,2019,2019,96065,
05,12 - 15 år,Varebiler,Registrerte varebiler,2020,2020,88564,
05,12 - 15 år,Varebiler,Registrerte varebiler,2021,2021,84711,
05,12 - 15 år,Varebiler,Registrerte varebiler,2022,2022,83164,
05,12 - 15 år,Varebiler,Registrerte varebiler,2023,2023,83280,
05,12 - 15 år,Varebiler,Registrerte varebiler,2024,2024,77528,
05,12 - 15 år,Varebiler,Registrerte varebiler,2025,2025,82956,
06,16 - 20 år,Personbiler,Registrerte personbiler,2008,2008,218329,
06,16 - 20 år,Personbiler,Registrerte personbiler,2009,2009,244662,
06,16 - 20 år,Personbiler,Registrerte personbiler,2010,2010,264050,
06,16 - 20 år,Personbiler,Registrerte personbiler,2011,2011,304147,
06,16 - 20 år,Personbiler,Registrerte personbiler,2012,2012,336913,
06,16 - 20 år,Personbiler,Registrerte personbiler,2013,2013,356215,
06,16 - 20 år,Personbiler,Registrerte personbiler,2014,2014,357435,
06,16 - 20 år,Personbiler,Registrerte personbiler,2015,2015,358065,
06,16 - 20 år,Personbiler,Registrerte personbiler,2016,2016,347123,
06,16 - 20 år,Personbiler,Registrerte personbiler,2017,2017,332060,
06,16 - 20 år,Personbiler,Registrerte personbiler,2018,2018,315690,
06,16 - 20 år,Personbiler,Registrerte personbiler,2019,2019,344006,
06,16 - 20 år,Personbiler,Registrerte personbiler,2020,2020,342372,
06,16 - 20 år,Personbiler,Registrerte personbiler,2021,2021,360982,
06,16 - 20 år,Personbiler,Registrerte personbiler,2022,2022,386885,
06,16 - 20 år,Personbiler,Registrerte personbiler,2023,2023,391856,
06,16 - 20 år,Personbiler,Registrerte personbiler,2024,2024,343821,
06,16 - 20 år,Personbiler,Registrerte personbiler,2025,2025,342014,
06,16 - 20 år,Varebiler,Registrerte varebiler,2008,2008,14115,
06,16 - 20 år,Varebiler,Registrerte varebiler,2009,2009,15861,
06,16 - 20 år,Varebiler,Registrerte varebiler,2010,2010,18496,
06,16 - 20 år,Varebiler,Registrerte varebiler,2011,2011,21404,
06,16 - 20 år,Varebiler,Registrerte varebiler,2012,2012,25112,
06,16 - 20 år,Varebiler,Registrerte varebiler,2013,2013,28144,
06,16 - 20 år,Varebiler,Registrerte varebiler,2014,2014,30068,
06,16 - 20 år,Varebiler,Registrerte varebiler,2015,2015,32051,
06,16 - 20 år,Varebiler,Registrerte varebiler,2016,2016,34391,
06,16 - 20 år,Varebiler,Registrerte varebiler,2017,2017,35158,
06,16 - 20 år,Varebiler,Registrerte varebiler,2018,2018,35843,
06,16 - 20 år,Varebiler,Registrerte varebiler,2019,2019,40580,
06,16 - 20 år,Varebiler,Registrerte varebiler,2020,2020,45387,
06,16 - 20 år,Varebiler,Registrerte varebiler,2021,2021,54404,
06,16 - 20 år,Varebiler,Registrerte varebiler,2022,2022,63181,
06,16 - 20 år,Varebiler,Registrerte varebiler,2023,2023,67651,
06,16 - 20 år,Varebiler,Registrerte varebiler,2024,2024,59802,
