Kjopegrupper,Kjopegrupper_label,Produkter,Produkter_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2023M03,2023M03,684.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2023M04,2023M04,607.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2023M05,2023M05,682.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2023M06,2023M06,730.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2023M07,2023M07,666.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2023M08,2023M08,717.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2023M09,2023M09,667.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2023M10,2023M10,713.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2023M11,2023M11,622.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2023M12,2023M12,586.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2024M01,2024M01,542.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2024M02,2024M02,536.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2024M03,2024M03,545.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2024M04,2024M04,612.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2024M05,2024M05,655.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2024M06,2024M06,650.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2024M07,2024M07,647.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2024M08,2024M08,704.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2024M09,2024M09,655.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2024M10,2024M10,626.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2024M11,2024M11,590.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2024M12,2024M12,542.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2025M01,2025M01,539.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2025M02,2025M02,548.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2025M03,2025M03,577.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2025M04,2025M04,592.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2025M05,2025M05,666.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2025M06,2025M06,708.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2025M07,2025M07,649.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2025M08,2025M08,659.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2025M09,2025M09,676.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2025M10,2025M10,669.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2025M11,2025M11,560.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2025M12,2025M12,516.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2026M01,2026M01,540.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2026M02,2026M02,554.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2026M03,2026M03,578.0,
